,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,MA Chidambaram Stadium,Kolkata Knight Riders,2011-04-08,1.0,30.0,1,4.0,30,7.5,30,24,0
1,2.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2011-04-13,2.0,31.5,1,4.0,33,8.25,33,24,0
2,3.0,MA Chidambaram Stadium,Royal Challengers Bangalore,2011-04-16,3.0,31.67,1,4.0,32,8.0,32,24,0
3,4.0,Nehru Stadium (Kochi),Kochi Tuskers Kerala,2011-04-18,3.0,44.33,0,3.0,38,12.67,-,-,0
4,5.0,Dr DY Patil Sports Academy,Pune Warriors,2011-04-27,4.0,41.5,1,4.0,33,8.25,33,24,0
5,6.0,Dubai International Cricket Stadium,Chennai Super Kings,2014-04-23,4.0,48.25,0,4.0,27,6.75,-,-,0
6,7.0,Sheikh Zayed Stadium,Royal Challengers Bangalore,2014-04-26,4.0,52.25,0,3.0,16,5.33,-,-,0
7,8.0,Sardar Patel Stadium,Kolkata Knight Riders,2014-05-05,4.0,60.5,0,3.0,33,11.0,-,-,0
8,9.0,Maharashtra Cricket Association Stadium,Kings XI Punjab,2015-04-10,6.0,46.33,2,4.0,36,9.0,18,12,0
9,10.0,Arun Jaitley Stadium,Delhi Capitals,2015-04-12,6.0,52.33,0,4.0,36,9.0,-,-,0
10,11.0,Sardar Patel Stadium,Mumbai Indians,2015-04-14,7.0,51.43,1,4.0,46,11.5,46,24,0
11,12.0,Dr YS Rajasekhara Reddy Cricket Stadium,Sunrisers Hyderabad,2015-04-16,7.0,55.71,0,4.0,30,7.5,-,-,0
12,13.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-04-29,9.0,46.89,2,4.0,32,8.0,16,12,0
13,14.0,Wankhede Stadium,Mumbai Indians,2015-05-01,10.0,45.8,1,4.0,36,9.0,36,24,0
14,15.0,Brabourne Stadium,Delhi Capitals,2015-05-03,10.0,48.9,0,4.0,31,7.75,-,-,0
15,16.0,Eden Gardens,Kolkata Knight Riders,2016-04-13,10.0,53.2,0,4.0,43,10.75,-,-,0
16,17.0,Wankhede Stadium,Gujarat Lions,2016-04-16,10.0,56.3,0,4.0,31,7.75,-,-,0
17,18.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2016-04-18,13.0,45.15,3,4.0,24,6.0,8,8,0
18,19.0,Barabati Stadium,Royal Challengers Bangalore,2016-04-20,13.0,47.08,0,4.0,25,6.25,-,-,0
19,20.0,Arun Jaitley Stadium,Delhi Capitals,2016-04-23,13.0,48.69,0,3.0,21,7.0,-,-,0
20,21.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2016-04-25,15.0,44.07,2,4.0,28,7.0,14,12,0
21,22.0,Wankhede Stadium,Kolkata Knight Riders,2016-04-28,17.0,41.12,2,4.0,38,9.5,19,12,0
22,23.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2016-05-01,17.0,43.18,0,4.0,35,8.75,-,-,0
23,24.0,Dr YS Rajasekhara Reddy Cricket Stadium,Sunrisers Hyderabad,2016-05-08,17.0,45.24,0,4.0,35,8.75,-,-,0
24,25.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-05-11,18.0,44.22,1,4.0,27,6.75,27,24,0
25,26.0,Dr YS Rajasekhara Reddy Cricket Stadium,Kings XI Punjab,2016-05-13,19.0,43.05,1,4.0,22,5.5,22,24,0
26,27.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-06,20.0,42.6,1,4.0,34,8.5,34,24,0
27,28.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2017-04-14,20.0,43.75,0,2.0,23,11.5,-,-,0
28,29.0,Eden Gardens,Kolkata Knight Riders,2017-05-13,22.0,41.55,2,4.0,39,9.75,19.5,12,0
29,30.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2018-04-29,22.0,43.09,0,4.0,34,8.5,-,-,0
30,31.0,M Chinnaswamy Stadium,Mumbai Indians,2018-05-01,24.0,40.54,2,4.0,25,6.25,12.5,12,0
31,32.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-05-05,24.0,41.79,0,3.0,30,10.0,-,-,0
32,33.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-05-07,27.0,38.26,3,4.0,30,7.5,10,8,0
33,34.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-12,27.0,39.78,0,4.0,41,10.25,-,-,0
34,35.0,Holkar Cricket Stadium,Kings XI Punjab,2018-05-14,27.0,40.48,0,2.0,19,9.5,-,-,0
35,36.0,M Chinnaswamy Stadium,Sunrisers Hyderabad,2018-05-17,27.0,42.15,0,4.0,45,11.25,-,-,0
36,37.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-05-18,27.0,43.52,0,4.0,37,9.25,-,-,0
37,38.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2019-04-05,27.0,45.78,0,4.0,61,15.25,-,-,0
38,39.0,M Chinnaswamy Stadium,Delhi Capitals,2019-04-07,28.0,45.0,1,2.0,24,12.0,24,12,0
39,40.0,M Chinnaswamy Stadium,Kings XI Punjab,2019-04-24,28.0,46.18,0,3.0,33,11.0,-,-,0
