,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Arun Jaitley Stadium,Chennai Super Kings,2010-03-19,1.0,38.0,1,4.0,38,9.5,38,24,0
1,2.0,Barabati Stadium,Deccan Chargers,2010-03-21,1.0,74.0,0,4.0,36,9.0,-,-,0
2,3.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2010-03-25,2.0,50.5,1,4.0,27,6.75,27,24,0
3,4.0,Arun Jaitley Stadium,Kolkata Knight Riders,2010-03-29,4.0,32.0,2,4.0,27,6.75,13.5,12,0
4,5.0,Arun Jaitley Stadium,Rajasthan Royals,2010-03-31,4.0,37.25,0,3.0,21,7.0,-,-,0
5,6.0,MA Chidambaram Stadium,Chennai Super Kings,2010-04-15,4.0,40.0,0,1.0,11,11.0,-,-,0
6,7.0,Arun Jaitley Stadium,Deccan Chargers,2010-04-18,6.0,30.67,2,4.0,24,6.0,12,12,0
7,8.0,Arun Jaitley Stadium,Mumbai Indians,2011-04-10,6.0,33.33,0,2.0,16,8.0,-,-,0
8,9.0,Dr DY Patil Sports Academy,Pune Warriors,2011-04-17,6.0,39.33,0,4.0,36,9.0,-,-,0
9,10.0,Arun Jaitley Stadium,Royal Challengers Bangalore,2011-04-26,6.0,45.5,0,4.0,37,9.25,-,-,0
10,11.0,Arun Jaitley Stadium,Kolkata Knight Riders,2011-04-28,8.0,37.75,2,4.0,29,7.25,14.5,12,0
11,12.0,Nehru Stadium (Kochi),Kochi Tuskers Kerala,2011-04-30,8.0,41.25,0,3.0,28,9.33,-,-,0
12,13.0,Arun Jaitley Stadium,Kochi Tuskers Kerala,2011-05-02,8.0,44.13,0,1.0,23,23.0,-,-,0
13,15.0,Eden Gardens,Kolkata Knight Riders,2012-04-05,10.0,36.2,2,2.0,9,4.5,4.5,6,0
14,16.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2012-04-07,10.0,37.0,0,2.0,8,4.0,-,-,0
15,17.0,Arun Jaitley Stadium,Chennai Super Kings,2012-04-10,11.0,35.82,1,3.0,24,8.0,24,18,0
16,18.0,Wankhede Stadium,Mumbai Indians,2012-04-16,13.0,31.15,2,4.0,11,2.75,5.5,12,0
17,19.0,Arun Jaitley Stadium,Deccan Chargers,2012-04-19,14.0,31.29,1,3.0,33,11.0,33,18,0
18,20.0,Arun Jaitley Stadium,Pune Warriors,2012-04-21,14.0,33.36,0,4.0,29,7.25,-,-,0
19,21.0,Maharashtra Cricket Association Stadium,Pune Warriors,2012-04-24,14.0,36.21,0,4.0,40,10.0,-,-,0
20,22.0,Arun Jaitley Stadium,Mumbai Indians,2012-04-27,16.0,33.94,2,4.0,36,9.0,18,12,0
21,23.0,Arun Jaitley Stadium,Rajasthan Royals,2012-04-29,16.0,36.13,0,4.0,35,8.75,-,-,0
22,24.0,Sawai Mansingh Stadium,Rajasthan Royals,2012-05-01,17.0,35.65,1,4.0,28,7.0,28,24,0
23,25.0,Arun Jaitley Stadium,Kolkata Knight Riders,2012-05-07,19.0,33.47,2,4.0,30,7.5,15,12,0
24,26.0,MA Chidambaram Stadium,Chennai Super Kings,2012-05-12,19.0,34.74,0,3.0,24,8.0,-,-,0
25,27.0,Arun Jaitley Stadium,Kings XI Punjab,2012-05-15,22.0,30.95,3,4.0,21,5.25,7,8,0
26,28.0,Arun Jaitley Stadium,Royal Challengers Bangalore,2012-05-17,22.0,32.86,0,4.0,42,10.5,-,-,0
27,29.0,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,2012-05-19,25.0,29.68,3,4.0,19,4.75,6.3,8,0
28,30.0,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,2012-05-22,26.0,29.96,1,4.0,37,9.25,37,24,0
29,31.0,MA Chidambaram Stadium,Chennai Super Kings,2012-05-25,27.0,29.85,1,4.0,27,6.75,27,24,0
30,32.0,Eden Gardens,Kolkata Knight Riders,2013-04-03,27.0,30.7,0,3.0,23,7.67,-,-,0
31,33.0,Arun Jaitley Stadium,Rajasthan Royals,2013-04-06,31.0,27.52,4,4.0,24,6.0,6,6,0
32,34.0,Wankhede Stadium,Mumbai Indians,2013-04-09,31.0,28.42,0,3.0,28,9.33,-,-,0
33,35.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2013-04-12,31.0,29.45,0,3.0,32,10.67,-,-,0
34,36.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2013-04-16,33.0,28.33,2,4.0,22,5.5,11,12,0
35,37.0,Arun Jaitley Stadium,Chennai Super Kings,2013-04-18,34.0,28.47,1,4.0,33,8.25,33,24,0
36,38.0,Arun Jaitley Stadium,Mumbai Indians,2013-04-21,36.0,27.75,2,4.0,31,7.75,15.5,12,0
37,39.0,Arun Jaitley Stadium,Kings XI Punjab,2013-04-23,36.0,28.28,0,3.0,19,6.33,-,-,0
38,40.0,Shaheed Veer Narayan Sing International Stadium,Pune Warriors,2013-04-28,38.0,27.42,2,4.0,24,6.0,12,12,0
39,41.0,Shaheed Veer Narayan Sing International Stadium,Kolkata Knight Riders,2013-05-01,40.0,26.95,2,4.0,36,9.0,18,12,0
40,42.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2013-05-04,40.0,27.63,0,2.5,27,9.53,-,-,0
41,43.0,Sawai Mansingh Stadium,Rajasthan Royals,2013-05-07,40.0,28.33,0,3.0,28,9.33,-,-,0
42,44.0,Arun Jaitley Stadium,Royal Challengers Bangalore,2013-05-10,40.0,29.95,0,4.0,65,16.25,-,-,0
43,45.0,MA Chidambaram Stadium,Chennai Super Kings,2013-05-14,42.0,29.14,2,4.0,26,6.5,13,12,0
44,46.0,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,2013-05-16,42.0,30.05,0,4.0,38,9.5,-,-,0
45,47.0,Maharashtra Cricket Association Stadium,Pune Warriors,2013-05-19,43.0,30.56,1,4.0,52,13.0,52,24,0
46,48.0,Sharjah Cricket Stadium,Royal Challengers Bangalore,2014-04-24,44.0,30.77,1,4.0,40,10.0,40,24,0
47,49.0,Sheikh Zayed Stadium,Kings XI Punjab,2014-04-26,44.0,31.41,0,4.0,28,7.0,-,-,0
48,50.0,Sardar Patel Stadium,Rajasthan Royals,2014-05-05,44.0,32.11,0,3.0,31,10.33,-,-,0
49,51.0,Arun Jaitley Stadium,Delhi Capitals,2014-05-07,45.0,31.98,1,4.0,26,6.5,26,24,0
50,52.0,Barabati Stadium,Kings XI Punjab,2014-05-11,46.0,32.02,1,4.0,34,8.5,34,24,0
51,53.0,Barabati Stadium,Mumbai Indians,2014-05-14,46.0,32.54,0,3.0,24,8.0,-,-,0
52,54.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2014-05-18,49.0,31.08,3,4.0,26,6.5,8.7,8,0
53,55.0,Eden Gardens,Chennai Super Kings,2014-05-20,49.0,31.67,0,4.0,29,7.25,-,-,0
54,56.0,Eden Gardens,Royal Challengers Bangalore,2014-05-22,50.0,31.94,1,4.0,45,11.25,45,24,0
55,57.0,Eden Gardens,Sunrisers Hyderabad,2014-05-24,50.0,32.58,0,3.0,32,10.67,-,-,0
56,58.0,Eden Gardens,Kings XI Punjab,2014-05-28,53.0,30.98,3,4.0,13,3.25,4.3,8,0
57,59.0,M Chinnaswamy Stadium,Kings XI Punjab,2014-06-01,54.0,31.13,1,4.0,39,9.75,39,24,0
58,60.0,Eden Gardens,Mumbai Indians,2015-04-08,54.0,31.8,0,3.0,36,12.0,-,-,0
59,61.0,Maharashtra Cricket Association Stadium,Kings XI Punjab,2015-04-18,57.0,30.7,3,4.0,33,8.25,11,8,0
60,62.0,Arun Jaitley Stadium,Delhi Capitals,2015-04-20,59.0,29.97,2,4.0,18,4.5,9,12,0
61,63.0,Dr YS Rajasekhara Reddy Cricket Stadium,Sunrisers Hyderabad,2015-04-22,60.0,30.13,1,4.0,40,10.0,40,24,0
62,64.0,MA Chidambaram Stadium,Chennai Super Kings,2015-04-28,60.0,30.73,0,4.0,29,7.25,-,-,0
63,65.0,Eden Gardens,Chennai Super Kings,2015-04-30,61.0,30.49,0,4.0,36,9.0,-,-,0
64,66.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-05-02,61.0,31.0,0,2.0,31,15.5,-,-,0
65,67.0,Eden Gardens,Sunrisers Hyderabad,2015-05-04,63.0,30.56,2,4.0,34,8.5,17,12,0
66,68.0,Eden Gardens,Delhi Capitals,2015-05-07,63.0,31.02,0,4.0,36,9.0,-,-,0
67,69.0,Eden Gardens,Kings XI Punjab,2015-05-09,63.0,31.59,0,3.0,37,12.33,-,-,0
68,70.0,Wankhede Stadium,Mumbai Indians,2015-05-14,63.0,32.17,1,4.0,36,9.0,36,24,0
69,71.0,Brabourne Stadium,Rajasthan Royals,2015-05-16,64.0,32.23,0,3.0,21,7.0,-,-,0
70,73.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2016-04-16,67.0,31.21,3,4.0,28,7.0,9.3,8,0
71,74.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2016-04-19,68.0,31.0,1,3.0,17,5.67,17,18,0
72,75.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2016-04-24,69.0,30.78,1,2.0,16,8.0,16,12,0
73,76.0,Wankhede Stadium,Mumbai Indians,2016-04-28,70.0,30.61,1,2.0,19,9.5,19,12,0
