,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Eden Gardens,Kolkata Knight Riders,2013-04-24,0.0,,0,4.0,34,8.5,-,-,0
1,2.0,Sharjah Cricket Stadium,Delhi Capitals,2014-04-17,1.0,52.0,1,4.0,18,4.5,18,24,0
2,3.0,Dubai International Cricket Stadium,Mumbai Indians,2014-04-19,3.0,23.0,2,4.0,17,4.25,8.5,12,0
3,4.0,Sharjah Cricket Stadium,Kolkata Knight Riders,2014-04-24,4.0,23.75,1,4.0,26,6.5,26,24,0
4,5.0,Sheikh Zayed Stadium,Rajasthan Royals,2014-04-26,5.0,22.4,1,3.0,17,5.67,17,18,0
5,6.0,Dubai International Cricket Stadium,Kings XI Punjab,2014-04-28,7.0,19.29,2,4.0,23,5.75,11.5,12,0
6,7.0,M Chinnaswamy Stadium,Sunrisers Hyderabad,2014-05-04,7.0,23.57,0,4.0,30,7.5,-,-,0
7,8.0,Wankhede Stadium,Mumbai Indians,2014-05-06,8.0,24.38,1,4.0,30,7.5,30,24,0
8,9.0,M Chinnaswamy Stadium,Kings XI Punjab,2014-05-09,10.0,21.8,2,4.0,23,5.75,11.5,12,0
9,10.0,M Chinnaswamy Stadium,Rajasthan Royals,2014-05-11,11.0,22.0,1,4.0,24,6.0,24,24,0
10,11.0,M Chinnaswamy Stadium,Delhi Capitals,2014-05-13,12.0,23.92,1,4.0,45,11.25,45,24,0
11,12.0,JSCA International Stadium Complex,Chennai Super Kings,2014-05-18,12.0,26.17,0,4.0,27,6.75,-,-,0
12,13.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2014-05-20,12.0,28.83,0,4.0,32,8.0,-,-,0
13,14.0,Eden Gardens,Kolkata Knight Riders,2014-05-22,12.0,33.0,0,4.0,50,12.5,-,-,0
14,15.0,M Chinnaswamy Stadium,Chennai Super Kings,2014-05-24,12.0,35.0,0,4.0,24,6.0,-,-,0
