,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Wankhede Stadium,Royal Challengers Bangalore,2008-04-20,1.0,19.0,1,2.4,19,7.12,19,16,0
1,2.0,MA Chidambaram Stadium,Chennai Super Kings,2008-04-23,2.0,22.0,1,3.0,25,8.33,25,18,0
2,3.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2008-04-25,4.0,20.25,2,4.0,37,9.25,18.5,12,0
3,4.0,Dr DY Patil Sports Academy,Deccan Chargers,2008-04-27,4.0,22.25,0,1.0,8,8.0,-,-,0
4,5.0,Eden Gardens,Kolkata Knight Riders,2008-04-29,4.0,26.0,0,3.0,15,5.0,-,-,0
5,6.0,Dr DY Patil Sports Academy,Delhi Capitals,2008-05-04,6.0,20.33,2,2.5,18,6.35,9,8.5,0
6,7.0,Dr DY Patil Sports Academy,Rajasthan Royals,2008-05-07,8.0,17.88,2,3.0,21,7.0,10.5,9,0
7,8.0,Wankhede Stadium,Chennai Super Kings,2008-05-14,11.0,16.0,3,4.0,33,8.25,11,8,0
8,9.0,Arun Jaitley Stadium,Delhi Capitals,2008-05-24,11.0,18.36,0,3.0,26,8.67,-,-,0
9,10.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2008-05-28,11.0,21.45,0,3.0,34,11.33,-,-,0
10,11.0,Kingsmead,Deccan Chargers,2009-04-25,11.0,23.09,0,1.0,18,18.0,-,-,0
11,12.0,SuperSport Park,Deccan Chargers,2009-05-06,12.0,22.92,1,4.0,21,5.25,21,24,0
12,13.0,Buffalo Park,Delhi Capitals,2009-05-08,12.0,23.67,0,3.0,9,3.0,-,-,0
13,14.0,St George's Park,Royal Challengers Bangalore,2009-05-10,13.0,23.69,1,4.0,24,6.0,24,24,0
14,15.0,SuperSport Park,Kings XI Punjab,2009-05-12,14.0,23.71,1,3.0,24,8.0,24,18,0
15,16.0,Kingsmead,Rajasthan Royals,2009-05-14,14.0,25.79,0,4.0,29,7.25,-,-,0
16,17.0,St George's Park,Chennai Super Kings,2009-05-16,15.0,27.07,1,4.0,45,11.25,45,24,0
