,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Eden Gardens,Kings XI Punjab,2010-04-04,0.0,,0,2.2,32,13.71,-,-,0
1,2.0,Eden Gardens,Rajasthan Royals,2010-04-17,3.0,19.33,3,4.0,26,6.5,8.7,8,0
2,3.0,Eden Gardens,Mumbai Indians,2010-04-19,4.0,21.25,1,4.0,27,6.75,27,24,0
3,4.0,Eden Gardens,Deccan Chargers,2011-04-11,6.0,20.17,2,4.0,36,9.0,18,12,0
4,5.0,Barabati Stadium,Royal Challengers Bangalore,2011-04-22,6.0,24.17,0,3.0,24,8.0,-,-,0
5,6.0,Arun Jaitley Stadium,Delhi Capitals,2011-04-28,7.0,24.14,1,4.0,24,6.0,24,24,0
6,8.0,Nehru Stadium (Kochi),Kochi Tuskers Kerala,2011-05-05,9.0,21.56,2,4.0,25,6.25,12.5,12,0
7,9.0,Eden Gardens,Chennai Super Kings,2011-05-07,9.0,22.78,0,1.0,11,11.0,-,-,0
8,10.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2011-05-14,10.0,23.5,1,2.0,30,15.0,30,12,0
9,11.0,Eden Gardens,Kings XI Punjab,2012-04-15,10.0,26.7,0,3.0,32,10.67,-,-,0
10,12.0,M Chinnaswamy Stadium,Mumbai Indians,2013-04-04,10.0,29.3,0,4.0,26,6.5,-,-,0
11,13.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2013-04-07,12.0,26.42,2,4.0,24,6.0,12,12,0
12,14.0,M Chinnaswamy Stadium,Sunrisers Hyderabad,2013-04-09,12.0,28.83,0,4.0,29,7.25,-,-,0
13,15.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2013-04-11,12.0,31.67,0,4.0,34,8.5,-,-,0
14,16.0,M Chinnaswamy Stadium,Delhi Capitals,2013-04-16,14.0,28.86,2,4.0,24,6.0,12,12,0
15,17.0,M Chinnaswamy Stadium,Rajasthan Royals,2013-04-20,15.0,29.07,1,4.0,32,8.0,32,24,0
16,18.0,M Chinnaswamy Stadium,Pune Warriors,2013-04-23,17.0,27.88,2,4.0,37,9.25,18.5,12,0
17,19.0,Wankhede Stadium,Mumbai Indians,2013-04-27,17.0,29.76,0,4.0,32,8.0,-,-,0
18,20.0,Sawai Mansingh Stadium,Rajasthan Royals,2013-04-29,17.0,31.53,0,3.0,30,10.0,-,-,0
19,21.0,Arun Jaitley Stadium,Delhi Capitals,2013-05-10,22.0,25.5,5,4.0,25,6.25,5,4.8,1
20,22.0,JSCA International Stadium Complex,Kolkata Knight Riders,2013-05-12,22.0,26.73,0,4.0,27,6.75,-,-,0
21,23.0,M Chinnaswamy Stadium,Kings XI Punjab,2013-05-14,23.0,27.04,1,4.0,34,8.5,34,24,0
22,24.0,M Chinnaswamy Stadium,Chennai Super Kings,2013-05-18,23.0,27.74,0,2.0,16,8.0,-,-,0
23,25.0,Dubai International Cricket Stadium,Kolkata Knight Riders,2014-04-19,24.0,27.63,1,4.0,25,6.25,25,24,0
24,26.0,Sheikh Zayed Stadium,Chennai Super Kings,2014-04-21,27.0,25.74,3,4.0,32,8.0,10.7,8,0
25,27.0,Dubai International Cricket Stadium,Sunrisers Hyderabad,2014-04-25,27.0,27.33,0,4.0,43,10.75,-,-,0
26,28.0,Sharjah Cricket Stadium,Mumbai Indians,2014-04-27,29.0,26.45,2,4.0,29,7.25,14.5,12,0
27,29.0,Arun Jaitley Stadium,Rajasthan Royals,2014-05-03,29.0,27.69,0,3.3,36,10.29,-,-,0
28,30.0,Arun Jaitley Stadium,Chennai Super Kings,2014-05-05,29.0,29.31,0,3.4,47,12.82,-,-,0
29,31.0,Arun Jaitley Stadium,Kings XI Punjab,2014-05-19,29.0,30.38,0,4.0,31,7.75,-,-,0
30,32.0,Wankhede Stadium,Mumbai Indians,2014-05-23,31.0,29.19,2,2.0,24,12.0,12,6,0
31,33.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2014-05-25,32.0,28.38,1,2.0,3,1.5,3,12,0
32,34.0,Arun Jaitley Stadium,Rajasthan Royals,2015-04-12,32.0,29.31,0,3.0,30,10.0,-,-,0
33,35.0,Wankhede Stadium,Mumbai Indians,2016-04-28,32.0,30.84,0,3.0,49,16.33,-,-,0
34,36.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2017-04-16,34.0,29.76,2,4.0,25,6.25,12.5,12,0
35,37.0,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,2017-04-22,35.0,30.09,1,4.0,41,10.25,41,24,0
36,38.0,Wankhede Stadium,Mumbai Indians,2017-04-24,37.0,29.54,2,4.0,40,10.0,20,12,0
37,39.0,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,2017-04-26,38.0,29.45,1,3.0,26,8.67,26,18,0
38,40.0,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,2017-04-29,39.0,29.18,1,4.0,19,4.75,19,24,0
39,41.0,Maharashtra Cricket Association Stadium,Gujarat Lions,2017-05-01,42.0,27.79,3,3.5,29,7.57,9.7,7.7,0
40,42.0,Eden Gardens,Kolkata Knight Riders,2017-05-03,44.0,27.16,2,4.0,28,7.0,14,12,0
41,43.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2017-05-06,49.0,25.0,5,4.0,30,7.5,6,4.8,1
42,44.0,Arun Jaitley Stadium,Delhi Capitals,2017-05-12,51.0,24.59,2,4.0,29,7.25,14.5,12,0
43,45.0,Maharashtra Cricket Association Stadium,Kings XI Punjab,2017-05-14,53.0,23.89,2,3.0,12,4.0,6,9,0
44,46.0,Wankhede Stadium,Mumbai Indians,2017-05-16,54.0,23.89,1,4.0,24,6.0,24,24,0
45,47.0,Rajiv Gandhi International Stadium,Mumbai Indians,2017-05-21,56.0,23.38,2,4.0,19,4.75,9.5,12,0
46,48.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-09,57.0,23.46,1,3.0,28,9.33,28,18,0
47,49.0,Sawai Mansingh Stadium,Delhi Capitals,2018-04-11,58.0,23.47,1,2.0,24,12.0,24,12,0
48,50.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-15,58.0,24.07,0,3.0,35,11.67,-,-,0
49,51.0,Sawai Mansingh Stadium,Kolkata Knight Riders,2018-04-18,58.0,24.66,0,3.0,34,11.33,-,-,0
50,52.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-04-20,58.0,25.33,0,4.0,39,9.75,-,-,0
51,53.0,Sawai Mansingh Stadium,Mumbai Indians,2018-04-22,59.0,25.42,1,4.0,31,7.75,31,24,0
52,54.0,Sawai Mansingh Stadium,Sunrisers Hyderabad,2018-04-29,60.0,25.55,1,3.0,33,11.0,33,18,0
53,55.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-02,63.0,25.06,3,4.0,46,11.5,15.3,8,0
54,56.0,Holkar Cricket Stadium,Kings XI Punjab,2018-05-06,63.0,25.48,0,4.0,26,6.5,-,-,0
55,57.0,Sawai Mansingh Stadium,Kings XI Punjab,2018-05-08,64.0,25.64,1,4.0,36,9.0,36,24,0
56,58.0,Sawai Mansingh Stadium,Chennai Super Kings,2018-05-11,64.0,26.17,0,4.0,34,8.5,-,-,0
57,59.0,Wankhede Stadium,Mumbai Indians,2018-05-13,65.0,26.34,1,4.0,37,9.25,37,24,0
58,60.0,Eden Gardens,Kolkata Knight Riders,2018-05-15,65.0,26.69,0,3.0,23,7.67,-,-,0
59,61.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2018-05-18,67.0,26.3,2,3.2,27,8.1,13.5,10,0
60,62.0,Eden Gardens,Kolkata Knight Riders,2018-05-23,67.0,26.79,0,2.0,33,16.5,-,-,0
61,63.0,Sawai Mansingh Stadium,Kings XI Punjab,2019-03-25,67.0,27.45,0,3.0,44,14.67,-,-,0
62,64.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-03-29,68.0,27.44,1,3.0,26,8.67,26,18,0
63,65.0,MA Chidambaram Stadium,Chennai Super Kings,2019-03-31,69.0,27.83,1,4.0,54,13.5,54,24,0
64,66.0,Sawai Mansingh Stadium,Chennai Super Kings,2019-04-11,70.0,27.76,1,3.0,23,7.67,23,18,0
65,67.0,Wankhede Stadium,Mumbai Indians,2019-04-13,71.0,27.87,1,4.0,36,9.0,36,24,0
66,68.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2019-04-16,72.0,28.15,1,4.0,48,12.0,48,24,0
67,69.0,Sawai Mansingh Stadium,Mumbai Indians,2019-04-20,73.0,28.4,1,4.0,46,11.5,46,24,0
68,70.0,Sawai Mansingh Stadium,Delhi Capitals,2019-04-22,73.0,28.89,0,3.2,36,10.8,-,-,0
69,71.0,Eden Gardens,Kolkata Knight Riders,2019-04-25,74.0,29.18,1,4.0,50,12.5,50,24,0
70,72.0,Sawai Mansingh Stadium,Sunrisers Hyderabad,2019-04-27,76.0,28.75,2,4.0,26,6.5,13,12,0
71,73.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-04-30,77.0,28.49,1,1.0,9,9.0,9,6,0
