,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2017-04-09,0.0,,0,2.0,21,10.5,-,-,0
1,2.0,Saurashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-14,0.0,,0,3.0,21,7.0,-,-,0
2,3.0,Wankhede Stadium,Mumbai Indians,2017-04-16,0.0,,0,4.0,34,8.5,-,-,0
3,4.0,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,2017-04-18,1.0,107.0,1,4.0,31,7.75,31,24,0
4,5.0,Eden Gardens,Kolkata Knight Riders,2017-04-21,2.0,75.5,1,4.0,44,11.0,44,24,0
5,6.0,Saurashtra Cricket Association Stadium,Kings XI Punjab,2017-04-23,2.0,97.5,0,4.0,44,11.0,-,-,0
6,7.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2017-04-27,3.0,76.33,1,4.0,34,8.5,34,24,0
7,8.0,Saurashtra Cricket Association Stadium,Mumbai Indians,2017-04-29,6.0,43.0,3,4.0,29,7.25,9.7,8,0
8,9.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-05-01,8.0,36.63,2,4.0,35,8.75,17.5,12,0
9,10.0,Arun Jaitley Stadium,Delhi Capitals,2017-05-04,9.0,37.0,1,4.0,40,10.0,40,24,0
10,11.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2017-05-07,10.0,38.1,1,4.0,48,12.0,48,24,0
11,12.0,Green Park,Delhi Capitals,2017-05-10,11.0,38.55,1,3.4,43,11.73,43,22,0
12,13.0,Wankhede Stadium,Mumbai Indians,2018-04-24,13.0,32.92,2,1.5,4,2.18,2,5.5,0
13,14.0,Rajiv Gandhi International Stadium,Kings XI Punjab,2018-04-26,15.0,29.47,2,2.2,14,6.0,7,7,0
14,15.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-04-29,16.0,29.25,1,2.0,26,13.0,26,12,0
15,16.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-05-17,16.0,33.63,0,4.0,70,17.5,-,-,0
16,17.0,Wankhede Stadium,Mumbai Indians,2019-05-02,16.0,36.13,0,4.0,40,10.0,-,-,0
17,18.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-05-04,16.0,37.94,0,4.0,29,7.25,-,-,0
18,19.0,Dr YS Rajasekhara Reddy Cricket Stadium,Delhi Capitals,2019-05-08,16.0,40.5,0,4.0,41,10.25,-,-,0
