,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2011-05-08,2.0,7.0,2,3.0,14,4.67,7,9,0
1,2.0,Rajiv Gandhi International Stadium,Deccan Chargers,2011-05-10,2.0,19.0,0,3.0,24,8.0,-,-,0
2,3.0,Dr DY Patil Sports Academy,Deccan Chargers,2011-05-16,2.0,24.0,0,2.0,10,5.0,-,-,0
3,4.0,Dr DY Patil Sports Academy,Kolkata Knight Riders,2011-05-19,3.0,22.33,1,3.0,19,6.33,19,18,0
4,5.0,Wankhede Stadium,Mumbai Indians,2012-04-06,3.0,26.67,0,2.0,13,6.5,-,-,0
5,6.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2012-04-17,3.0,35.67,0,4.0,27,6.75,-,-,0
6,7.0,MA Chidambaram Stadium,Chennai Super Kings,2012-04-19,3.0,48.0,0,3.0,37,12.33,-,-,0
7,8.0,Maharashtra Cricket Association Stadium,Deccan Chargers,2012-04-26,4.0,44.5,1,4.0,34,8.5,34,24,0
8,9.0,Barabati Stadium,Deccan Chargers,2012-05-01,5.0,40.0,1,4.0,22,5.5,22,24,0
9,10.0,Maharashtra Cricket Association Stadium,Mumbai Indians,2012-05-03,7.0,29.86,2,3.0,9,3.0,4.5,9,0
10,11.0,Eden Gardens,Kolkata Knight Riders,2012-05-05,9.0,26.11,2,4.0,26,6.5,13,12,0
11,12.0,Maharashtra Cricket Association Stadium,Rajasthan Royals,2012-05-08,10.0,25.2,1,3.0,17,5.67,17,18,0
12,13.0,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,2012-05-11,10.0,29.2,0,4.0,40,10.0,-,-,0
13,14.0,Sawai Mansingh Stadium,Rajasthan Royals,2012-05-13,10.0,32.5,0,4.0,33,8.25,-,-,0
14,15.0,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,2012-05-19,11.0,31.64,1,4.0,23,5.75,23,24,0
15,16.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2013-04-05,12.0,30.42,1,4.0,17,4.25,17,24,0
16,17.0,Maharashtra Cricket Association Stadium,Kings XI Punjab,2013-04-07,12.0,31.75,0,2.0,16,8.0,-,-,0
17,18.0,Maharashtra Cricket Association Stadium,Rajasthan Royals,2013-04-11,13.0,32.46,1,4.0,41,10.25,41,24,0
18,19.0,Wankhede Stadium,Mumbai Indians,2013-04-13,13.0,33.69,0,2.0,16,8.0,-,-,0
19,20.0,MA Chidambaram Stadium,Chennai Super Kings,2013-04-15,15.0,30.0,2,4.0,12,3.0,6,12,0
20,21.0,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,2013-04-17,18.0,26.0,3,4.0,18,4.5,6,8,0
21,22.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2013-04-21,19.0,26.26,1,4.0,31,7.75,31,24,0
