,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Eden Gardens,Kolkata Knight Riders,2018-05-25,0.0,,0,3.0,38,12.67,-,-,0
1,2.0,Rajiv Gandhi International Stadium,Delhi Capitals,2019-04-14,3.0,22.67,3,4.0,30,7.5,10,8,0
2,3.0,Rajiv Gandhi International Stadium,Chennai Super Kings,2019-04-17,4.0,22.5,1,4.0,22,5.5,22,24,0
3,4.0,Rajiv Gandhi International Stadium,Kolkata Knight Riders,2019-04-21,7.0,17.57,3,4.0,33,8.25,11,8,0
4,5.0,MA Chidambaram Stadium,Chennai Super Kings,2019-04-23,7.0,21.29,0,4.0,26,6.5,-,-,0
5,6.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-27,8.0,22.75,1,4.0,33,8.25,33,24,0
6,7.0,Rajiv Gandhi International Stadium,Kings XI Punjab,2019-04-29,11.0,20.18,3,4.0,40,10.0,13.3,8,0
7,8.0,Wankhede Stadium,Mumbai Indians,2019-05-02,14.0,18.86,3,4.0,42,10.5,14,8,0
8,9.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-05-04,17.0,17.71,3,4.0,37,9.25,12.3,8,0
9,10.0,Dr YS Rajasekhara Reddy Cricket Stadium,Delhi Capitals,2019-05-08,19.0,17.11,3,2.5,24,8.47,8,5.7,0
