,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2017-04-05,2.0,18.0,2,4.0,36,9.0,18,12,0
1,2.0,Rajiv Gandhi International Stadium,Gujarat Lions,2017-04-09,5.0,11.0,3,4.0,19,4.75,6.3,8,0
2,3.0,Wankhede Stadium,Mumbai Indians,2017-04-12,6.0,12.33,1,4.0,19,4.75,19,24,0
3,4.0,Eden Gardens,Kolkata Knight Riders,2017-04-15,7.0,14.71,1,4.0,29,7.25,29,24,0
4,5.0,Rajiv Gandhi International Stadium,Kings XI Punjab,2017-04-17,9.0,16.11,2,4.0,42,10.5,21,12,0
5,6.0,Rajiv Gandhi International Stadium,Delhi Capitals,2017-04-19,9.0,19.78,0,4.0,33,8.25,-,-,0
6,7.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-22,10.0,19.5,1,4.0,17,4.25,17,24,0
7,8.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2017-04-28,11.0,19.18,1,4.0,16,4.0,16,24,0
8,9.0,Rajiv Gandhi International Stadium,Kolkata Knight Riders,2017-04-30,12.0,20.75,1,4.0,38,9.5,38,24,0
9,10.0,Arun Jaitley Stadium,Delhi Capitals,2017-05-02,12.0,22.75,0,4.0,24,6.0,-,-,0
10,11.0,Rajiv Gandhi International Stadium,Rising Pune Supergiant,2017-05-06,13.0,22.38,1,4.0,18,4.5,18,24,0
11,12.0,Rajiv Gandhi International Stadium,Mumbai Indians,2017-05-08,14.0,22.36,1,4.0,22,5.5,22,24,0
12,13.0,Green Park,Gujarat Lions,2017-05-13,17.0,20.41,3,4.0,34,8.5,11.3,8,0
13,14.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2017-05-17,17.0,21.06,0,2.0,11,5.5,-,-,0
14,15.0,Rajiv Gandhi International Stadium,Rajasthan Royals,2018-04-09,18.0,21.17,1,4.0,23,5.75,23,24,0
15,16.0,Rajiv Gandhi International Stadium,Mumbai Indians,2018-04-12,19.0,20.74,1,4.0,13,3.25,13,24,0
16,17.0,Eden Gardens,Kolkata Knight Riders,2018-04-14,19.0,22.37,0,4.0,31,7.75,-,-,0
17,18.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2018-04-19,20.0,24.0,1,4.0,55,13.75,55,24,0
18,19.0,Rajiv Gandhi International Stadium,Chennai Super Kings,2018-04-22,21.0,25.19,1,4.0,49,12.25,49,24,0
19,20.0,Wankhede Stadium,Mumbai Indians,2018-04-24,23.0,23.48,2,4.0,11,2.75,5.5,12,0
20,21.0,Rajiv Gandhi International Stadium,Kings XI Punjab,2018-04-26,26.0,21.5,3,4.0,19,4.75,6.3,8,0
21,22.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-04-29,27.0,21.85,1,4.0,31,7.75,31,24,0
22,23.0,Rajiv Gandhi International Stadium,Delhi Capitals,2018-05-05,29.0,21.14,2,4.0,23,5.75,11.5,12,0
23,24.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2018-05-07,30.0,21.47,1,4.0,31,7.75,31,24,0
24,25.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-10,30.0,22.63,0,4.0,35,8.75,-,-,0
25,26.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-05-13,30.0,23.47,0,4.0,25,6.25,-,-,0
26,27.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-05-17,33.0,22.15,3,4.0,27,6.75,9,8,0
27,28.0,Rajiv Gandhi International Stadium,Kolkata Knight Riders,2018-05-19,33.0,23.09,0,4.0,31,7.75,-,-,0
28,29.0,Wankhede Stadium,Chennai Super Kings,2018-05-22,35.0,22.09,2,4.0,11,2.75,5.5,12,0
29,30.0,Eden Gardens,Kolkata Knight Riders,2018-05-25,38.0,20.84,3,4.0,19,4.75,6.3,8,0
30,31.0,Wankhede Stadium,Chennai Super Kings,2018-05-27,38.0,21.47,0,4.0,24,6.0,-,-,0
31,32.0,Eden Gardens,Kolkata Knight Riders,2019-03-24,39.0,21.59,1,4.0,26,6.5,26,24,0
32,33.0,Rajiv Gandhi International Stadium,Rajasthan Royals,2019-03-29,40.0,21.65,1,4.0,24,6.0,24,24,0
33,34.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2019-03-31,40.0,22.28,0,4.0,25,6.25,-,-,0
34,35.0,Arun Jaitley Stadium,Delhi Capitals,2019-04-04,41.0,22.17,1,4.0,18,4.5,18,24,0
35,36.0,Rajiv Gandhi International Stadium,Mumbai Indians,2019-04-06,42.0,22.29,1,4.0,27,6.75,27,24,0
36,37.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2019-04-08,43.0,22.23,1,4.0,20,5.0,20,24,0
37,38.0,Rajiv Gandhi International Stadium,Delhi Capitals,2019-04-14,44.0,22.23,1,4.0,22,5.5,22,24,0
38,39.0,Rajiv Gandhi International Stadium,Chennai Super Kings,2019-04-17,46.0,21.63,2,4.0,17,4.25,8.5,12,0
39,40.0,Rajiv Gandhi International Stadium,Kolkata Knight Riders,2019-04-21,47.0,21.66,1,4.0,23,5.75,23,24,0
40,41.0,MA Chidambaram Stadium,Chennai Super Kings,2019-04-23,48.0,22.13,1,4.0,44,11.0,44,24,0
41,42.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-27,49.0,22.29,1,4.0,30,7.5,30,24,0
42,43.0,Rajiv Gandhi International Stadium,Kings XI Punjab,2019-04-29,52.0,21.4,3,4.0,21,5.25,7,8,0
43,44.0,Wankhede Stadium,Mumbai Indians,2019-05-02,52.0,21.81,0,4.0,21,5.25,-,-,0
44,45.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-05-04,53.0,22.23,1,4.0,44,11.0,44,24,0
45,46.0,Dr YS Rajasekhara Reddy Cricket Stadium,Delhi Capitals,2019-05-08,55.0,21.69,2,4.0,15,3.75,7.5,12,0
