,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,2013-05-11,3.0,7.0,3,4.0,21,5.25,7,8,0
1,2.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2013-05-14,3.0,19.0,0,4.0,36,9.0,-,-,0
2,3.0,Himachal Pradesh Cricket Association Stadium,Delhi Capitals,2013-05-16,6.0,13.33,3,4.0,23,5.75,7.7,8,0
3,4.0,Himachal Pradesh Cricket Association Stadium,Mumbai Indians,2013-05-18,8.0,14.88,2,4.0,39,9.75,19.5,12,0
4,5.0,Sharjah Cricket Stadium,Sunrisers Hyderabad,2014-04-22,9.0,16.11,1,4.0,26,6.5,26,24,0
5,6.0,Sheikh Zayed Stadium,Kolkata Knight Riders,2014-04-26,12.0,13.83,3,4.0,21,5.25,7,8,0
6,7.0,Dubai International Cricket Stadium,Royal Challengers Bangalore,2014-04-28,15.0,12.07,3,3.0,15,5.0,5,6,0
7,8.0,Wankhede Stadium,Mumbai Indians,2014-05-03,17.0,12.35,2,3.1,29,9.16,14.5,9.5,0
8,9.0,Barabati Stadium,Chennai Super Kings,2014-05-07,18.0,13.72,1,4.0,37,9.25,37,24,0
9,10.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2014-05-09,21.0,12.95,3,4.0,25,6.25,8.3,8,0
10,11.0,Barabati Stadium,Kolkata Knight Riders,2014-05-11,21.0,14.48,0,4.0,32,8.0,-,-,0
11,12.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2014-05-14,22.0,16.77,1,4.0,65,16.25,65,24,0
12,13.0,Arun Jaitley Stadium,Delhi Capitals,2014-05-19,25.0,16.16,3,4.0,35,8.75,11.7,8,0
13,14.0,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,2014-05-21,25.0,17.64,0,3.0,37,12.33,-,-,0
14,15.0,Wankhede Stadium,Chennai Super Kings,2014-05-30,26.0,18.19,1,3.0,32,10.67,32,18,0
15,16.0,Maharashtra Cricket Association Stadium,Rajasthan Royals,2015-04-10,27.0,18.22,1,4.0,19,4.75,19,24,0
16,17.0,Wankhede Stadium,Mumbai Indians,2015-04-12,28.0,18.0,1,4.0,12,3.0,12,24,0
17,18.0,Maharashtra Cricket Association Stadium,Delhi Capitals,2015-04-15,29.0,18.41,1,4.0,30,7.5,30,24,0
18,19.0,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,2015-04-18,33.0,16.94,4,4.0,25,6.25,6.2,6,0
19,20.0,Sardar Patel Stadium,Rajasthan Royals,2015-04-21,34.0,17.18,1,4.0,25,6.25,25,24,0
20,21.0,MA Chidambaram Stadium,Chennai Super Kings,2015-04-25,34.0,18.12,0,4.0,32,8.0,-,-,0
21,22.0,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,2015-04-27,35.0,18.6,1,4.0,35,8.75,35,24,0
22,23.0,Arun Jaitley Stadium,Delhi Capitals,2015-05-01,35.0,18.89,0,3.0,10,3.33,-,-,0
23,24.0,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,2015-05-03,35.0,19.57,0,3.0,24,8.0,-,-,0
24,25.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-05-06,37.0,19.62,2,4.0,41,10.25,20.5,12,0
25,26.0,Eden Gardens,Kolkata Knight Riders,2015-05-09,37.0,20.57,0,4.0,35,8.75,-,-,0
26,27.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2015-05-11,37.0,21.46,0,4.0,33,8.25,-,-,0
27,28.0,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,2015-05-13,38.0,21.42,1,2.0,20,10.0,20,12,0
28,29.0,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,2015-05-16,39.0,21.1,1,2.0,9,4.5,9,12,0
29,30.0,Punjab Cricket Association IS Bindra Stadium,Gujarat Lions,2016-04-11,40.0,21.1,1,3.0,21,7.0,21,18,0
30,31.0,Arun Jaitley Stadium,Delhi Capitals,2016-04-15,41.0,20.73,1,2.0,6,3.0,6,12,0
31,32.0,Punjab Cricket Association IS Bindra Stadium,Rising Pune Supergiant,2016-04-17,43.0,20.3,2,4.0,23,5.75,11.5,12,0
32,33.0,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,2016-04-19,43.0,20.79,0,2.0,21,10.5,-,-,0
33,34.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2016-04-23,44.0,21.0,1,4.0,30,7.5,30,24,0
34,35.0,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,2016-04-25,45.0,20.98,1,4.0,20,5.0,20,24,0
35,36.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2016-05-01,46.0,21.2,1,4.0,31,7.75,31,24,0
36,37.0,Eden Gardens,Kolkata Knight Riders,2016-05-04,46.0,21.74,0,4.0,25,6.25,-,-,0
37,38.0,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,2016-05-07,47.0,22.04,1,4.0,36,9.0,36,24,0
38,39.0,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,2016-05-09,49.0,22.14,2,4.0,49,12.25,24.5,12,0
39,40.0,Dr YS Rajasekhara Reddy Cricket Stadium,Mumbai Indians,2016-05-13,51.0,21.49,2,4.0,11,2.75,5.5,12,0
40,41.0,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,2016-05-15,52.0,21.75,1,4.0,35,8.75,35,24,0
41,42.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-05-18,53.0,21.89,1,3.0,29,9.67,29,18,0
42,43.0,Dr YS Rajasekhara Reddy Cricket Stadium,Rising Pune Supergiant,2016-05-21,54.0,22.02,1,4.0,29,7.25,29,24,0
43,44.0,Holkar Cricket Stadium,Rising Pune Supergiant,2017-04-08,56.0,21.82,2,4.0,33,8.25,16.5,12,0
44,45.0,Holkar Cricket Stadium,Royal Challengers Bangalore,2017-04-10,57.0,21.89,1,4.0,26,6.5,26,24,0
45,46.0,Barabati Stadium,Kolkata Knight Riders,2017-04-13,57.0,22.39,0,3.0,28,9.33,-,-,0
46,47.0,Arun Jaitley Stadium,Delhi Capitals,2017-04-15,58.0,22.71,1,4.0,41,10.25,41,24,0
