,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2013-04-12,0.0,,0,2.0,8,4.0,-,-,0
1,2.0,Sawai Mansingh Stadium,Rajasthan Royals,2013-05-07,1.0,31.0,1,3.5,23,6.0,23,23,0
2,3.0,Arun Jaitley Stadium,Royal Challengers Bangalore,2013-05-10,2.0,33.5,1,4.0,36,9.0,36,24,0
3,4.0,MA Chidambaram Stadium,Chennai Super Kings,2013-05-14,2.0,52.0,0,4.0,37,9.25,-,-,0
4,5.0,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,2013-05-16,2.0,71.5,0,4.0,39,9.75,-,-,0
5,6.0,Maharashtra Cricket Association Stadium,Pune Warriors,2013-05-19,4.0,42.5,2,4.0,27,6.75,13.5,12,0
6,7.0,Arun Jaitley Stadium,Kolkata Knight Riders,2014-05-07,4.0,49.75,0,3.0,29,9.67,-,-,0
7,8.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2014-05-10,5.0,40.8,1,1.0,5,5.0,5,6,0
8,9.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2014-05-13,6.0,40.17,1,4.0,37,9.25,37,24,0
9,10.0,Sardar Patel Stadium,Rajasthan Royals,2014-05-15,6.0,45.83,0,3.0,34,11.33,-,-,0
10,11.0,Wankhede Stadium,Mumbai Indians,2014-05-23,6.0,49.33,0,2.0,21,10.5,-,-,0
11,12.0,Rajiv Gandhi International Stadium,Kings XI Punjab,2017-04-17,7.0,46.0,1,3.4,26,7.09,26,22,0
12,13.0,Rajiv Gandhi International Stadium,Delhi Capitals,2017-04-19,8.0,44.25,1,4.0,32,8.0,32,24,0
13,14.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-22,8.0,49.88,0,3.0,45,15.0,-,-,0
14,15.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2017-04-28,10.0,43.6,3,4.0,36,9.0,12,8,0
15,16.0,Rajiv Gandhi International Stadium,Kolkata Knight Riders,2017-04-30,12.0,38.5,2,4.0,26,6.5,13,12,0
16,17.0,Arun Jaitley Stadium,Delhi Capitals,2017-05-02,13.0,38.46,1,4.0,38,9.5,38,24,0
17,18.0,Rajiv Gandhi International Stadium,Rising Pune Supergiant,2017-05-06,17.0,31.12,4,4.0,29,7.25,7.2,6,0
18,19.0,Rajiv Gandhi International Stadium,Mumbai Indians,2017-05-08,20.0,27.65,3,4.0,24,6.0,8,8,0
19,20.0,Green Park,Gujarat Lions,2017-05-13,21.0,27.76,1,4.0,30,7.5,30,24,0
20,21.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2017-05-17,21.0,28.43,0,1.0,14,14.0,-,-,0
21,22.0,Rajiv Gandhi International Stadium,Rajasthan Royals,2018-04-09,23.0,26.7,2,4.0,17,4.25,8.5,12,0
22,23.0,Rajiv Gandhi International Stadium,Mumbai Indians,2018-04-12,25.0,25.72,2,4.0,29,7.25,14.5,12,0
23,24.0,Eden Gardens,Kolkata Knight Riders,2018-04-14,26.0,26.15,1,4.0,37,9.25,37,24,0
24,25.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2018-04-19,27.0,26.41,1,4.0,33,8.25,33,24,0
25,26.0,Rajiv Gandhi International Stadium,Chennai Super Kings,2018-04-22,27.0,27.63,0,4.0,33,8.25,-,-,0
26,27.0,Wankhede Stadium,Mumbai Indians,2018-04-24,30.0,25.63,3,4.0,23,5.75,7.7,8,0
27,28.0,Rajiv Gandhi International Stadium,Kings XI Punjab,2018-04-26,30.0,26.47,0,4.0,25,6.25,-,-,0
28,29.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-04-29,32.0,25.53,2,4.0,23,5.75,11.5,12,0
29,30.0,Rajiv Gandhi International Stadium,Delhi Capitals,2018-05-05,33.0,25.88,1,4.0,37,9.25,37,24,0
30,31.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2018-05-07,34.0,25.85,1,4.0,25,6.25,25,24,0
31,32.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-10,34.0,27.26,0,4.0,48,12.0,-,-,0
32,33.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-05-13,34.0,28.44,0,3.0,40,13.33,-,-,0
33,34.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-05-17,36.0,28.08,2,4.0,44,11.0,22,12,0
34,35.0,Rajiv Gandhi International Stadium,Kolkata Knight Riders,2018-05-19,38.0,27.29,2,4.0,26,6.5,13,12,0
35,36.0,Wankhede Stadium,Chennai Super Kings,2018-05-22,40.0,26.73,2,4.0,32,8.0,16,12,0
36,37.0,Eden Gardens,Kolkata Knight Riders,2018-05-25,42.0,26.21,2,4.0,32,8.0,16,12,0
37,38.0,Wankhede Stadium,Chennai Super Kings,2018-05-27,42.0,27.24,0,3.0,43,14.33,-,-,0
38,39.0,Eden Gardens,Kolkata Knight Riders,2019-03-24,43.0,27.42,1,4.0,35,8.75,35,24,0
39,40.0,Rajiv Gandhi International Stadium,Rajasthan Royals,2019-03-29,43.0,28.16,0,4.0,32,8.0,-,-,0
40,41.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2019-03-31,43.0,28.53,0,3.0,16,5.33,-,-,0
41,42.0,Arun Jaitley Stadium,Delhi Capitals,2019-04-04,45.0,28.04,2,4.0,35,8.75,17.5,12,0
42,43.0,Rajiv Gandhi International Stadium,Mumbai Indians,2019-04-06,47.0,27.57,2,4.0,34,8.5,17,12,0
43,44.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2019-04-08,48.0,27.88,1,4.0,42,10.5,42,24,0
44,45.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-27,48.0,28.88,0,4.0,48,12.0,-,-,0
