Index,Foreign,Player_Name,Cost,Bowling Type,Order,Batting Performance,Bowling Performance,IndexRole,Performance,WK_Performance
0,1,Faf du Plessis,1.5,-,Top,0.509743547,0,0,0.375010463,0
1,0,Murali Vijay,2,-,Top,0.438140827,0,0,0.322333447,0
2,0,Suresh Raina,2,-,Top,0.907263785,0,0,0.667459969,0
3,0,Prithvi Shaw,0.2,-,Top,0.422044621,0,0,0.310491716,0
4,0,Shikhar Dhawan,2,-,Top,0.554138599,0,0,0.407671218,0
5,0,Shreyas Iyer,2,-,Top,0.508182968,0,0,0.373862369,0
6,1,Chris Lynn,2,-,Top,0.689824886,0,0,0.507493526,0
7,0,Nitish Rana,0.2,-,Top,0.663704895,0,0,0.488277451,0
8,0,Shubman Gill,0.2,-,Top,0.683740205,0,0,0.50301712,0
9,1,Evin Lewis,1.5,-,Top,0.48566054,0,0,0.357292966,0
10,0,Rohit Sharma,2,-,Top,0.443989057,0,0,0.326635899,0
11,0,Suryakumar Yadav,0.3,-,Top,0.663783712,0,0,0.488335436,0
12,1,Chris Gayle,2,-,Top,0.718722742,0,0,0.528753232,0
13,0,Karun Nair,0.5,-,Top,0.74604776,0,0,0.548855827,0
14,0,Mayank Agarwal,0.2,-,Top,0.439953621,0,0,0.323667091,0
15,0,Virat Kohli,2,-,Top,0.360050583,0,0,0.58858487,0
16,0,Ajinkya Rahane,2,-,Top,0.484802309,0,0,0.356661579,0
17,0,Rahul Tripathi,0.2,-,Top,0.487144053,0,0,0.358384364,0
18,1,Steven Smith,2,-,Top,0.358101173,0,0,0.557723337,0
19,1,David Warner,2,-,Top,0.782065429,0,0,0.57535347,0
20,1,Kane Williamson,1.5,-,Top,0.581157105,0,0,0.501116773,0
21,1,Martin Guptill,0.75,-,Top,0.595160279,0,0,0.437850235,0
22,1,Sam Billings,1,-,Lower,0.321896824,0,2,0.321896824,0.100446429
23,1,Nicholas Pooran,0.5,-,Middle,0.433884614,0,1,0.433884614,0.158279221
24,0,Sanju Samson,1,-,Top,0.518407487,0,0,0.518407487,0.197001966
25,0,Robin Uthappa,2,-,Top,0.509464317,0,0,0.509464317,0.276360544
26,0,Lokesh Rahul,2,-,Top,0.698289667,0,0,0.698289667,0.283269558
27,1,AB de Villiers,2,-,Top,0.566231527,0,0,0.566231527,0.320578231
28,0,Dinesh Karthik,2,-,Middle,0.487771661,0,1,0.487771661,0.414124192
29,0,MS Dhoni,2,-,Lower,0.544357293,0,2,0.544357293,0.416955617
30,0,Rishabh Pant,2,-,Middle,0.524302266,0,1,0.524302266,0.449572435
31,1,Heinrich Klaasen,0.5,-,Middle,0.399083731,0,1,0.399083731,0.467116725
32,1,Quinton de Kock,2,-,Top,0.779665969,0,0,0.779665969,0.512079832
33,1,Jonny Bairstow,1.5,-,Top,0.712524138,0,0,0.712524138,0.585858159
34,0,Shreevats Goswami,0.2,-,Middle,0.448578606,0,1,0.448578606,0.635629252
35,0,Wriddhiman Saha,1,-,Top,0.689816375,0,0,0.689816375,0.747055471
36,1,Jos Buttler,1.5,-,Top,1,0,0,1,0.835243726
37,0,Parthiv Patel,1,-,Top,0.765654811,0,0,0.765654811,1
38,0,Ambati Rayudu,0.5,-,Middle,0.419611799,0,1,0.308701927,0
39,0,Dhruv Shorey,0.2,-,Middle,0.324453272,0,1,0.238695266,0
40,1,Colin Ingram,2,-,Middle,0.343120667,0,1,0.252428581,0
41,0,Nikhil Naik,0.2,-,Middle,0.320041265,0,1,0.235449421,0
42,0,Rinku Singh,0.2,-,Middle,0.379309983,0,1,0.279052502,0
43,1,David Miller,1.5,-,Middle,0.514356975,0,1,0.378404491,0
44,0,Mandeep Singh,0.5,-,Middle,0.436979588,0,1,0.321479141,0
45,0,Sarfaraz Khan,0.2,-,Middle,0.356922419,0,1,0.262582317,0
46,0,Akshdeep Nath,0.2,-,Middle,0.331150975,0,1,0.243622663,0
47,0,Gurkeerat Singh Mann,0.5,-,Middle,0.72004687,0,1,0.529727373,0
48,1,Shimron Hetmyer,0.5,-,Middle,0.354016695,0,1,0.260444621,0
49,1,Ashton Turner,0.5,-,Middle,0.30528495,0,1,0.224593428,0
50,1,Liam Livingstone,0.5,-,Middle,0.664104235,0,1,0.48857124,0
51,0,Riyan Parag,0.2,-,Middle,0.699866186,0,1,0.514880755,0
52,0,Abhishek Sharma,0.2,-,Middle,0.398548364,0,1,0.293205882,0
53,0,Manish Pandey,1,-,Middle,0.681270602,0,1,0.501200271,0
54,0,Ricky Bhui,0.2,-,Middle,0.310514903,0,1,0.228441023,0
55,1,Shane Watson,1,-,Top,0.709142085,0.485341114,3,0.87876286,0
56,1,Colin Munro,0.5,-,Top,0.345973847,0.395998333,3,0.545857485,0
57,0,Kedar Jadhav,2,-,Middle,0.524883438,1,3,0.57006979,0
58,0,Hanuma Vihari,0.5,-,Middle,0.332702796,0.385021537,3,0.528018718,0
59,1,Sherfane Rutherford,0.4,-,Middle,0.349278911,0.411699319,3,0.559839943,0
60,1,Kieron Pollard,2,-,Middle,0.690656844,0.415034042,3,0.813439726,0
61,0,Krunal Pandya,0.4,-,Middle,0.400695692,0.391413089,3,0.582742209,0
62,0,Hardik Pandya,2,-,Middle,0.600695692,0.5637071,3,0.856633169,0
63,1,Moises Henriques,1.5,-,Middle,0.66063453,0.408364596,3,0.786446164,0
64,1,Moeen Ali,1.5,-,Middle,0.73295361,0.415311935,3,0.844761245,0
65,1,Ben Stokes,2,-,Middle,0.420477036,0.473252744,3,0.65750321,0
66,0,Mahipal Lomror,0.2,-,Middle,0.34246561,0.41684035,3,0.55860968,0
67,0,Stuart Binny,0.5,-,Middle,0.349434794,0.398221481,3,0.550039186,0
68,0,Deepak Hooda,0.4,-,Middle,0.351007633,0.40905933,3,0.559169538,0
69,1,Shakib Al Hasan,1,-,Middle,0.458822437,0.499513686,3,0.7050331,0
70,0,Yusuf Pathan,0.75,-,Middle,0.359638983,0.435320272,3,0.584839259,0
71,1,Dwayne Bravo,2,-,Lower,0.351033905,0.679310824,3,0.75800872,0
72,1,Mitchell Santner,0.5,-,Lower,0.359801871,0.389050994,3,0.550919499,0
73,0,Ravindra Jadeja,2,-,Lower,0.461649344,0.419341392,3,0.648131292,0
74,0,Axar Patel,2,-,Lower,0.414255739,0.393219397,3,0.594046999,0
75,1,Chris Morris,0.75,-,Lower,0.361760039,0.401000417,3,0.561151099,0
76,1,Keemo Paul,0.5,-,Lower,0.322414536,0.57968598,3,0.663661431,0
77,1,Andre Russell,2,-,Lower,0.504690494,0.645685702,3,0.846314019,0
78,1,Carlos Brathwaite,1,-,Lower,0.35868442,0.416145616,3,0.570030503,0
79,0,Piyush Chawla,1,-,Lower,0.339554631,0.401139364,3,0.544917144,0
80,1,Ben Cutting,1,-,Lower,0.364748083,0.419063499,3,0.576638088,0
81,0,Ravichandran Ashwin,2,-,Lower,0.338640352,0.596081701,3,0.687660593,0
82,1,Sam Curran,0.2,-,Lower,0.359278175,1,3,0.999999982,0
83,1,Colin de Grandhomme,0.75,-,Lower,0.438951767,0.41684035,3,0.629593057,0
84,1,Marcus Stoinis,2,-,Lower,0.444701914,0.424065583,3,0.639138844,0
85,0,Pawan Negi,0.5,-,Lower,0.367764151,0.421981381,3,0.581003603,0
86,0,Shivam Dube,0.2,-,Lower,0.347378543,0.41211616,3,0.558748535,0
87,0,Washington Sundar,1.5,-,Lower,0.344695258,0.387383632,3,0.538579144,0
88,1,Jofra Archer,0.4,-,Lower,0.488582028,0.390857302,3,0.646989947,0
89,0,Krishnappa Gowtham,0.2,-,Lower,0.361001643,0.448242323,3,0.5953483,0
90,0,Shreyas Gopal,0.2,-,Lower,0.337473859,0.778101987,3,0.820711938,0
91,1,Mohammad Nabi,0.5,-,Lower,0.37550224,0.509378908,3,0.650993408,0
92,0,Vijay Shankar,0.4,-,Lower,0.529474097,0.411699319,3,0.692406761,0
93,0,Shardul Thakur,0.75,F,-,0,0.870542772,4,0.640444886,0
94,0,Mohit Sharma,1.5,F,-,0,0.51730195,4,0.380571063,0
95,0,KM Asif,0.2,F,-,0,0.957316002,4,0.704282613,0
96,1,Imran Tahir,1,S,-,0,0.796240998,4,0.585782217,0
97,0,Deepak Chahar,0.2,F,-,0,0.529773406,4,0.389746121,0
98,0,Karn Sharma,2,-,-,0,0.507816617,4,0.37359285,0
99,0,Yarra Prithviraj,0.2,-,-,0,0.569119972,4,0.418692783,0
100,1,Sunil Narine,2,S,-,0,0.56701212,4,0.417142068,0
101,0,Sandeep Warrier,0.2,-,-,0,0.877041981,4,0.645226254,0
102,0,Prasidh Krishna,0.2,F,-,0,0.532408221,4,0.391684514,0
103,1,Lockie Ferguson,1,F,-,0,0.518355876,4,0.38134642,0
104,0,Kuldeep Yadav,1.5,S,-,0,0.672404708,4,0.494677769,0
105,0,KC Cariappa,0.2,-,-,0,0.59142807,4,0.435104506,0
106,1,Harry Gurney,0.75,F,-,0,0.523625505,4,0.385223205,0
107,0,Rahul Chahar,0.2,S,-,0,0.633936413,4,0.466377238,0
108,1,Mitchell_McClenaghan,0.1,F,-,0,0.518004567,4,0.381087968,0
109,0,Mayank Markande,0.2,-,-,0,0.624275426,4,0.459269799,0
110,0,Jayant Yadav,0.5,-,-,0,0.484278939,4,0.356276544,0
111,0,Jasprit Bumrah,2,F,-,0,0.736167223,4,0.541586868,0
112,1,Jason Behrendorff,1,F,-,0,0.521341999,4,0.383543265,0
113,1,Beuran Hendricks,1,F,-,0,0.61303355,4,0.450999324,0
114,0,Barinder Sran,0.5,-,-,0,0.533989109,4,0.392847549,0
115,1,Alzarri Joseph,1,F,-,0,0.545230985,4,0.401118024,0
116,0,Varun Aaron,0.5,F,-,0,0.52503074,4,0.386257015,0
117,1,Oshane Thomas,0.5,F,-,0,0.507640963,4,0.373463624,0
118,0,Jaydev Unadkat,1.5,F,-,0,0.549973652,4,0.40460713,0
119,1,Ish_Sodhi,0.5,S,-,0,0.591955033,4,0.435492185,0
120,0,Dhawal Kulkarni,0.5,F,-,0,0.672053399,4,0.494419317,0
121,1,Sandeep Lamichhane,0.2,S,-,0,0.594414193,4,0.437301351,0
122,0,Rahul Tewatia,0.2,S,-,0,0.494115581,4,0.363513209,0
123,0,Nathu Singh,0.2,-,-,0,0.434744423,4,0.319834765,0
124,1,Kagiso Rabada,1.5,F,-,0,0.882487265,4,0.649232265,0
125,0,Jagadeesha Suchith,0.2,-,-,0,0.628842438,4,0.462629679,0
126,0,Ishant Sharma,0.75,F,-,0,0.669769893,4,0.492739377,0
127,0,Harshal Patel,0.2,F,-,0,0.705954681,4,0.519359967,0
128,0,Avesh Khan,0.2,F,-,0,0.53521869,4,0.393752133,0
129,0,Amit Mishra,1.5,S,-,0,0.49815563,4,0.366485411,0
130,0,Murugan Ashwin,0.2,S,-,0,0.505181802,4,0.371654457,0
131,1,Mujeeb Ur Rahman,1.5,S,-,0,0.513613209,4,0.377857314,0
132,0,Mohammed Shami,1,F,-,0,0.841208502,4,0.618864116,0
133,1,Hardus Viljoen,0.75,F,-,0,0.591076761,4,0.434846054,0
134,0,Arshdeep Singh,0.2,F,-,0,0.533813455,4,0.392718323,0
135,0,Ankit Rajpoot,0.3,-,-,0,0.793606183,4,0.583843825,0
136,1,Andrew Tye,1,F,-,0,0.570349552,4,0.419597366,0
137,0,Yuzvendra Chahal,2,S,-,0,0.767609345,4,0.564718352,0
138,0,Umesh Yadav,1,F,-,0,0.755840506,4,0.556060199,0
139,1,Tim Southee,1,F,-,0,0.575092219,4,0.423086473,0
140,0,Navdeep Saini,0.2,F,-,0,0.698752854,4,0.514061694,0
141,0,Mohammed Siraj,1,F,-,0,0.552784121,4,0.406674749,0
